,0
0,alaska
1,arizona
2,colorado
3,connecticut
4,delaware
5,florida
6,georgia
7,hawaii
8,idaho
9,illinois
10,iowa
11,kansas
12,kentucky
13,louisiana
14,maine
15,maryland
16,massachusetts
17,michigan
18,minnesota
19,mississippi
20,missouri
21,montana
22,nebraska
23,nevada
24,new hampshire
25,new jersey
26,new mexico
27,new york
28,north carolina
29,oklahoma
30,oregon
31,pennsylvania
32,rhode island
33,south carolina
34,tennessee
35,texas
36,vermont
37,virginia
38,washington
39,west virginia
40,wisconsin
41,wyoming
